City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,hadibu,12.65,54.0333,27.57,73,27,2.73,YE,1682460835
229,ad douiem,14.0012,32.3116,33.57,13,45,4.32,SD,1682460836
230,longyearbyen,78.2186,15.6401,-8.09,79,0,1.03,SJ,1682460836
231,ribeira brava,32.65,-17.0667,20.4,62,57,2.37,PT,1682460836
232,akureyri,65.6835,-18.0878,-0.04,64,100,3.6,IS,1682460370
233,bandar,2.05,99.75,22.93,97,100,0.99,ID,1682460836
234,harar,9.3094,42.1258,16.54,84,94,1.58,ET,1682460836
235,mucumpiz,8.4167,-71.1333,15.62,91,99,0.94,VE,1682460836
236,namibe,-15.1961,12.1522,23.5,81,56,3.22,AO,1682460836
237,kindu,-2.95,25.95,21.25,97,96,2.45,CD,1682460837
238,puro,12.4841,123.3827,26.37,80,14,3.91,PH,1682460837
239,malangali,-8.5667,34.85,17.65,91,39,5.15,TZ,1682460837
240,ishigaki,24.3448,124.1572,22.41,85,98,10.59,JP,1682460837
241,barah,13.7,30.3667,31.65,21,72,1.9,SD,1682460837
242,xichang,27.8964,102.2634,13.45,84,98,1.63,CN,1682460656
243,colonia,50.9333,6.95,6.36,76,0,1.54,DE,1682460837
244,eforie sud,44.0229,28.6494,11.56,95,100,2.94,RO,1682460837
245,st. john's,47.5649,-52.7093,2.1,96,100,8.49,CA,1682460699
246,happy valley-goose bay,53.3168,-60.3315,9.24,61,94,1.34,CA,1682460754
247,guerrero negro,27.9769,-114.0611,19.74,55,0,7.28,MX,1682460838
248,haiku-pauwela,20.9219,-156.3051,27.01,57,75,5.66,US,1682460838
249,naracoorte,-36.9579,140.7383,16.66,61,97,5.48,AU,1682460838
250,abalak,58.1286,68.5944,8.81,75,18,1.76,RU,1682460838
251,angul,20.85,85.1,23.9,78,93,0.46,IN,1682460838
252,lorengau,-2.0226,147.2712,29.04,74,54,3.49,PG,1682460838
253,pokaran,26.9167,71.9167,29.37,18,100,3.14,IN,1682460838
254,mahina,-17.5065,-149.489,28.75,78,75,3.6,PF,1682460839
255,koundara,12.4833,-13.3,32.92,20,2,1.2,GN,1682460839
256,aasiaat,68.7098,-52.8699,0.19,99,100,2.45,GL,1682460839
257,hobyo,5.3505,48.5268,28.52,75,96,5.86,SO,1682460839
258,paoua,7.2427,16.4406,28.01,48,89,2.77,CF,1682460839
259,beloyarskiy,63.7119,66.6722,-10.1,99,30,1.0,RU,1682460839
260,urengoy,65.9667,78.3667,-10.56,96,100,2.06,RU,1682460836
261,hammerfest,70.6634,23.6821,0.25,74,75,0.0,NO,1682460839
262,alofi,-19.0595,-169.9187,25.86,75,68,5.97,NU,1682460840
263,nyurba,63.2842,118.3319,-5.01,96,100,0.12,RU,1682460840
264,kwale,5.7063,6.4374,25.14,93,98,1.79,NG,1682460840
265,iranshahr,27.2025,60.6848,21.92,41,83,2.79,IR,1682460840
266,mareeba,-17.0,145.4333,23.58,81,93,1.97,AU,1682460840
267,mukalla,14.5425,49.1242,27.55,74,12,2.21,YE,1682460840
268,kingscliff,-28.2667,153.5667,18.74,94,75,3.6,AU,1682460840
269,balkashino,52.5167,68.7667,10.13,57,3,2.92,KZ,1682460840
270,coruripe,-10.1256,-36.1756,24.66,87,95,2.77,BR,1682460841
271,nova soure,-11.2333,-38.4833,25.12,73,87,4.65,BR,1682460841
272,leava,-14.3,-178.1667,28.44,77,32,6.64,WF,1682460841
273,juneau,58.3019,-134.4197,6.9,90,100,9.26,US,1682460765
274,ambodifotatra,-16.9833,49.85,26.4,82,39,6.43,MG,1682460841
275,taoudenni,22.6783,-3.9836,31.08,12,3,4.92,ML,1682460841
276,minzhu,43.7286,127.3447,4.35,66,94,2.76,CN,1682460841
277,los frentones,-26.4077,-61.4137,19.92,65,0,1.01,AR,1682460841
278,vernon,50.2581,-119.2691,18.2,35,100,0.45,CA,1682460621
279,tolanaro,-25.0319,46.9987,19.31,78,50,2.96,MG,1682460642
280,bocas del toro,9.3333,-82.25,27.22,74,38,2.35,PA,1682460842
281,nabire,-3.3667,135.4833,24.85,91,75,1.41,ID,1682460842
282,kiama,-34.6833,150.8667,19.44,90,66,0.64,AU,1682460817
283,santa terezinha,-29.9002,-50.0904,21.45,89,65,6.7,BR,1682460842
284,groningen,53.25,6.75,4.46,81,20,3.09,NL,1682460613
285,la grande,45.3246,-118.0877,17.23,38,21,1.0,US,1682460842
286,koulamoutou,-1.1303,12.4736,22.38,99,67,1.01,GA,1682460842
287,east london,-33.0153,27.9116,20.63,92,99,4.3,ZA,1682460630
288,mar del plata,-38.0023,-57.5575,18.38,95,100,1.54,AR,1682460784
289,fortuna,40.5982,-124.1573,18.29,68,8,1.34,US,1682460532
290,kudahuvadhoo,2.6708,72.8944,28.11,77,100,3.62,MV,1682460843
291,kizner,56.2749,51.508,13.44,70,100,2.95,RU,1682460843
292,metlili chaamba,32.2667,3.6333,26.2,21,95,2.24,DZ,1682460843
293,helena,46.5927,-112.0361,13.55,45,0,6.17,US,1682460741
294,pangody,65.85,74.4859,-6.32,98,98,2.01,RU,1682460844
295,vilhena,-12.7406,-60.1458,21.99,91,95,0.28,BR,1682460844
296,ulysses,37.5814,-101.3552,9.16,93,100,6.69,US,1682460844
297,hermanus,-34.4187,19.2345,15.33,80,31,2.77,ZA,1682460844
298,carnarvon,-24.8667,113.6333,16.66,66,0,6.85,AU,1682460817
299,isafjordur,66.0755,-23.124,-1.41,61,6,2.63,IS,1682460844
300,niquelandia,-14.4739,-48.4597,24.19,65,22,1.2,BR,1682460844
301,samut sakhon,13.5833,100.3,28.9,78,77,3.02,TH,1682460844
302,howard springs,-12.497,131.047,24.95,89,90,3.43,AU,1682460844
303,champerico,14.3,-91.9167,34.3,59,51,6.16,GT,1682460845
304,benjamin constant,-4.3831,-70.0311,29.07,69,40,3.09,BR,1682460845
